hosts,refCount,company,type,jurisdiction
tps.doubleverify.com,468,Doubleverify,advertising,us
open.weixin.qq.com,464,Tencent,advertising,china
appload.ingest.crittercism.com,461,Apteligent,analytics,us
txn.ingest.crittercism.com,461,Apteligent,analytics,us
long.open.weixin.qq.com,455,Tencent,advertising,china
documentation.appboy.com,446,Appboy,advertising,us
dist.bpc.ad-stir.com,437,Adstir,advertising,jp
edge.api.brightcove.com,429,Brightcove,analytics,us
test.ad-stir.com,407,Adstir,advertising,jp
mobileads.google.com,405,Google,app,us
mobileads.google.com,405,Google-Ads,advertising,us
sdk.e.qq.com,402,Tencent,advertising,china
ads.aerserv.com,389,Aerserv,advertising,us
adobe.com,387,Adobe,advertising,us
js.moatads.com,376,Moatads,advertising,n/a
na1e-ccsdk.services.adobe.com,367,Adobe,advertising,us
na1e-stg1.services.adobe.com,367,Adobe,advertising,us
cdn.segment.com,366,Mcro,advertising,us
marketplace-android-b56.hyprmx.com,360,Hyprmx,advertising,us
e.apsalar.com,358,Apsalar,advertising,us
appnext.com,351,Appnext,advertising,uk
staging.ads.aerserv.com,345,Aerserv,advertising,us
appact.qzone.qq.com,343,Tencent,advertising,china
.doubleclick.net,341,Doubleclick,advertising,us
.googleadservices.com,341,Google-Ads,advertising,us
.googlesyndication.com,341,Google-Ads,advertising,us
ads.superawesome.tv,339,Superawesome,advertising,uk
webpresence.qq.com,337,Tencent,advertising,china
ads.api.vungle.com,336,Vungle,advertising,us
xad.adlibr.com,336,Mocomplex,advertising,kr
analy.qq.com,334,Tencent,advertising,china
ssl.p.jwpcdn.com,333,Longtail Ad Solutions,advertising,us
debug.aerserv.com,328,Aerserv,advertising,us
support.newrelic.com.,327,Newrelic,analytics,us
contents.adbrix.igaworks.com,325,Igaworks,advertising,south korea
"https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/mraid/v2/mraid_app_banner.js""",324,Doubleclick,advertising,us
"https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/mraid/v2/mraid_app_expanded_banner.js""",324,Doubleclick,advertising,us
"https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/mraid/v2/mraid_app_interstitial.js""",324,Doubleclick,advertising,us
"https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/sdk-core-v40.html""",324,Doubleclick,advertising,us
lbs.map.qq.com,322,Tencent,advertising,china
mediation.adnxs.com,321,Appnexus,advertising,us
endpoint1.collection.eu.sumologic.com,317,Sumo Logic,analytics,us
ads.mydas.mobi,316,Millennialmedia,advertising,
engine.mobileapptracking.com,316,King,app,uk
engine.mobileapptracking.com,316,Tune,advertising,us
staging.iframe.sponsorpay.com,314,Fyber,advertising,us
staging.sws.sponsorpay.com,305,Fyber,advertising,us
acceptance.vungle.com,304,Vungle,advertising,us
gwk.adlibr.com,304,Mocomplex,advertising,kr
app.adjust.io,303,Adjust,analytics,us
www.ultraadserver.com,303,Ironsource,advertising,us
ad.doubleclick.net,300,Doubleclick,advertising,us
c00.adobe.com,290,Adobe,advertising,us
mobile-service.segment.com,286,Mcro,advertising,us
contents.igaworks.com,284,Igaworks,advertising,south korea
www.cmcm.com,283,Cheetahmobile,advertising,china
wvlic.brightcove.com,276,Brightcove,analytics,us
app.appsflyer.com,275,Appsflyer,advertising,us
m.wsq.qq.com,273,Tencent,advertising,china
e.ai.inmobi.com,272,Inmobi,advertising,singapore
cdn-settings.segment.com,267,Mcro,advertising,us
ad.fout.jp,262,Fout,advertising,JP
ad.ad-stir.com,256,Adstir,advertising,jp
