hosts,numApps,pctOfApps,company,country,root_parent
p.adsymptotic.com,2770,0.29,Drawbridge,US,NA
spreadsheets.google.com,2765,0.29,Google,US,Alphabet
api.t.163.com,2690,0.28,Netease,CN,NA
api.t.sohu.com,2682,0.28,Sohu,CN,NA
ags-ext.amazon.com,2618,0.27,Amazon,US,NA
cortana-gateway.amazon.com,2615,0.27,Amazon,US,NA
analytics.query.yahoo.com,2600,0.27,Yahoo,US,Verizon
api.weibo.com,2555,0.27,Weibo,CN,Sina
engine.sponsorpay.com,2547,0.27,Fyber,US,RNTS Media
youtu.be,2539,0.26,Youtube,US,Alphabet
